Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,perception,tempo,Task Version,order-enwm,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Spreadsheet: correct_response,Spreadsheet: whitescreen,Manipulation: Spreadsheet
1,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,,,,,,5,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,
2,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,,,,,,5,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,
3,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,
4,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,1,screen 1,Screen 1,zufrd2,1,continue,,869,867,869,869,867,869,1,869,0,0,,Click To Continue,Continue Button,2,object-4,screen 1,,,,
5,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,1,Trial,Screen 1,um9bhn,1,continue,,1933,1933,1933,1933,1933,1933,1,1933,0,0,,Fixation Timing,Fixation,1,object-8,Trial,1.jpg,Absent,whitescreen.jpg,
6,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,1,Trial,Screen 2,gdvsqo,2,response,Absent,677,667,677,677,667,677,1,677,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,1.jpg,Absent,whitescreen.jpg,
7,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,2,Trial,Screen 1,um9bhn,1,continue,,1932,1932,1932,1932,1932,1932,1,1932,0,0,,Fixation Timing,Fixation,1,object-8,Trial,2.jpg,Present,whitescreen.jpg,
8,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,2,Trial,Screen 2,gdvsqo,2,response,Present,692,668,692,692,668,692,1,692,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,2.jpg,Present,whitescreen.jpg,
9,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,3,Trial,Screen 1,um9bhn,1,continue,,1934,1934,1934,1934,1934,1934,1,1934,0,0,,Fixation Timing,Fixation,1,object-8,Trial,3.jpg,Present,whitescreen.jpg,
10,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,3,Trial,Screen 2,gdvsqo,2,response,Present,797,766,797,797,766,797,1,797,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,3.jpg,Present,whitescreen.jpg,
11,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,4,Trial,Screen 1,um9bhn,1,continue,,1934,1934,1934,1934,1934,1934,1,1934,0,0,,Fixation Timing,Fixation,1,object-8,Trial,4.jpg,Present,whitescreen.jpg,
12,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,4,Trial,Screen 2,gdvsqo,2,response,Present,600,566,600,600,566,600,1,600,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,4.jpg,Present,whitescreen.jpg,
13,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,5,Trial,Screen 1,um9bhn,1,continue,,1933,1933,1933,1933,1933,1933,1,1933,0,0,,Fixation Timing,Fixation,1,object-8,Trial,5.jpg,Absent,whitescreen.jpg,
14,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,5,Trial,Screen 2,gdvsqo,2,response,Absent,657,634,657,657,634,657,1,657,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,5.jpg,Absent,whitescreen.jpg,
15,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,6,Trial,Screen 1,um9bhn,1,continue,,1933,1933,1933,1933,1933,1933,1,1933,0,0,,Fixation Timing,Fixation,1,object-8,Trial,6.jpg,Absent,whitescreen.jpg,
16,1.70665E+12,30/01/2024 21:27,1.70665E+12,0,30/01/2024 21:27,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,6,Trial,Screen 2,gdvsqo,2,response,Absent,770,767,770,770,767,770,1,770,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,6.jpg,Absent,whitescreen.jpg,
17,1.70665E+12,30/01/2024 21:28,1.70665E+12,0,30/01/2024 21:28,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,7,Trial,Screen 1,um9bhn,1,continue,,1933,1933,1933,1933,1933,1933,1,1933,0,0,,Fixation Timing,Fixation,1,object-8,Trial,7.jpg,Absent,whitescreen.jpg,
18,1.70665E+12,30/01/2024 21:28,1.70665E+12,0,30/01/2024 21:28,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,7,Trial,Screen 2,gdvsqo,2,response,Absent,664,634,664,664,634,664,1,664,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,7.jpg,Absent,whitescreen.jpg,
19,1.70665E+12,30/01/2024 21:28,1.70665E+12,0,30/01/2024 21:28,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,8,Trial,Screen 1,um9bhn,1,continue,,1933,1933,1933,1933,1933,1933,1,1933,0,0,,Fixation Timing,Fixation,1,object-8,Trial,8.jpg,Present,whitescreen.jpg,
20,1.70665E+12,30/01/2024 21:28,1.70665E+12,0,30/01/2024 21:28,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,8,Trial,Screen 2,gdvsqo,2,response,Present,870,867,870,870,867,870,1,870,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,8.jpg,Present,whitescreen.jpg,
21,1.70665E+12,30/01/2024 21:28,1.70665E+12,0,30/01/2024 21:28,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,1,End,Screen 1,jo2ygf,1,continue,,992,966,992,992,966,992,1,992,0,0,,Click To Continue,Continue Button,2,object-18,End,,,,
22,1.70665E+12,30/01/2024 21:28,1.70665E+12,0,30/01/2024 21:28,162688,9,task-b45l,,34626784,BLIND,10238800,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1440x820,,,0,low,no,10,ABFCED,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,,,,
1,1.70671E+12,31/01/2024 14:08,1.70671E+12,0,31/01/2024 14:08,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,,,,,,5,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,
2,1.70671E+12,31/01/2024 14:09,1.70671E+12,0,31/01/2024 14:09,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,,,,,,5,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,
3,1.70671E+12,31/01/2024 14:09,1.70671E+12,0,31/01/2024 14:09,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,
4,1.70671E+12,31/01/2024 14:09,1.70671E+12,0,31/01/2024 14:09,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,1,screen 1,Screen 1,zufrd2,1,continue,,29095.8,29081.9,29095.8,29095.8,29081.9,29095.8,1,29095.8,0,0,,Click To Continue,Continue Button,2,object-4,screen 1,,,,
5,1.70671E+12,31/01/2024 14:09,1.70671E+12,0,31/01/2024 14:09,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,1,Trial,Screen 1,um9bhn,1,continue,,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1,1966.7,0,0,,Fixation Timing,Fixation,1,object-8,Trial,1.jpg,Absent,whitescreen.jpg,
6,1.70671E+12,31/01/2024 14:09,1.70671E+12,0,31/01/2024 14:09,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,1,Trial,Screen 2,gdvsqo,2,response,Absent,19065.8,19049.2,19065.8,19065.8,19049.2,19065.8,1,19065.8,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,1.jpg,Absent,whitescreen.jpg,
7,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,2,Trial,Screen 1,um9bhn,1,continue,,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1,1966.7,0,0,,Fixation Timing,Fixation,1,object-8,Trial,2.jpg,Present,whitescreen.jpg,
8,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,2,Trial,Screen 2,gdvsqo,2,response,Present,9623.5,9616,9623.5,9623.5,9616,9623.5,1,9623.5,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,2.jpg,Present,whitescreen.jpg,
9,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,3,Trial,Screen 1,um9bhn,1,continue,,1966.8,1966.8,1966.8,1966.8,1966.8,1966.8,1,1966.8,0,0,,Fixation Timing,Fixation,1,object-8,Trial,3.jpg,Present,whitescreen.jpg,
10,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,3,Trial,Screen 2,gdvsqo,2,response,Present,4036.3,4033.1,4036.3,4036.3,4033.1,4036.3,1,4036.3,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,3.jpg,Present,whitescreen.jpg,
11,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,4,Trial,Screen 1,um9bhn,1,continue,,1967.2,1967.2,1967.2,1967.2,1967.2,1967.2,1,1967.2,0,0,,Fixation Timing,Fixation,1,object-8,Trial,4.jpg,Present,whitescreen.jpg,
12,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,4,Trial,Screen 2,gdvsqo,2,response,Present,1747,1732.6,1747,1747,1732.6,1747,1,1747,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,4.jpg,Present,whitescreen.jpg,
13,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,5,Trial,Screen 1,um9bhn,1,continue,,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1,1966.7,0,0,,Fixation Timing,Fixation,1,object-8,Trial,5.jpg,Absent,whitescreen.jpg,
14,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,5,Trial,Screen 2,gdvsqo,2,response,Absent,3364.3,3349.9,3364.3,3364.3,3349.9,3364.3,1,3364.3,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,5.jpg,Absent,whitescreen.jpg,
15,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,6,Trial,Screen 1,um9bhn,1,continue,,1966.6,1966.6,1966.6,1966.6,1966.6,1966.6,1,1966.6,0,0,,Fixation Timing,Fixation,1,object-8,Trial,6.jpg,Absent,whitescreen.jpg,
16,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,6,Trial,Screen 2,gdvsqo,2,response,Absent,2906.4,2899.6,2906.4,2906.4,2899.6,2906.4,1,2906.4,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,6.jpg,Absent,whitescreen.jpg,
17,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,7,Trial,Screen 1,um9bhn,1,continue,,1966.9,1966.9,1966.9,1966.9,1966.9,1966.9,1,1966.9,0,0,,Fixation Timing,Fixation,1,object-8,Trial,7.jpg,Absent,whitescreen.jpg,
18,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,7,Trial,Screen 2,gdvsqo,2,response,Absent,2008.6,1999.9,2008.6,2008.6,1999.9,2008.6,1,2008.6,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,7.jpg,Absent,whitescreen.jpg,
19,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,8,Trial,Screen 1,um9bhn,1,continue,,1966.4,1966.4,1966.4,1966.4,1966.4,1966.4,1,1966.4,0,0,,Fixation Timing,Fixation,1,object-8,Trial,8.jpg,Present,whitescreen.jpg,
20,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,8,Trial,Screen 2,gdvsqo,2,response,Present,3373.7,3366.4,3373.7,3373.7,3366.4,3373.7,1,3373.7,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,8.jpg,Present,whitescreen.jpg,
21,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,1,End,Screen 1,jo2ygf,1,continue,,3637.6,3633.2,3637.6,3637.6,3633.2,3637.6,1,3637.6,0,0,,Click To Continue,Continue Button,2,object-18,End,,,,
22,1.70671E+12,31/01/2024 14:10,1.70671E+12,0,31/01/2024 14:10,162688,9,task-b45l,,34642677,BLIND,10243911,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1280x720,1232x606,,,0,low,no,10,CDBEAF,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,,,,
1,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,,,,,,5,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,
2,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,,,,,,5,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,
3,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,
4,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,1,screen 1,Screen 1,zufrd2,1,continue,,6175.8,6167.4,6175.8,6175.8,6167.4,6175.8,1,6175.8,0,0,,Click To Continue,Continue Button,2,object-4,screen 1,,,,
5,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,1,Trial,Screen 1,um9bhn,1,continue,,1965.9,1965.9,1965.9,1965.9,1965.9,1965.9,1,1965.9,0,0,,Fixation Timing,Fixation,1,object-8,Trial,1.jpg,Absent,whitescreen.jpg,
6,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,1,Trial,Screen 2,gdvsqo,2,response,Absent,2776.3,2766.3,2776.3,2776.3,2766.3,2776.3,1,2776.3,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,1.jpg,Absent,whitescreen.jpg,
7,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,2,Trial,Screen 1,um9bhn,1,continue,,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1,1966.7,0,0,,Fixation Timing,Fixation,1,object-8,Trial,2.jpg,Present,whitescreen.jpg,
8,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,2,Trial,Screen 2,gdvsqo,2,response,Present,1771.8,1766.6,1771.8,1771.8,1766.6,1771.8,1,1771.8,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,2.jpg,Present,whitescreen.jpg,
9,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,3,Trial,Screen 1,um9bhn,1,continue,,1966.8,1966.8,1966.8,1966.8,1966.8,1966.8,1,1966.8,0,0,,Fixation Timing,Fixation,1,object-8,Trial,3.jpg,Present,whitescreen.jpg,
10,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,3,Trial,Screen 2,gdvsqo,2,response,Present,926.1,916.5,926.1,926.1,916.5,926.1,1,926.1,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,3.jpg,Present,whitescreen.jpg,
11,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,4,Trial,Screen 1,um9bhn,1,continue,,1966.4,1966.4,1966.4,1966.4,1966.4,1966.4,1,1966.4,0,0,,Fixation Timing,Fixation,1,object-8,Trial,4.jpg,Present,whitescreen.jpg,
12,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,4,Trial,Screen 2,gdvsqo,2,response,Present,552.6,549.9,552.6,552.6,549.9,552.6,1,552.6,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,4.jpg,Present,whitescreen.jpg,
13,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,5,Trial,Screen 1,um9bhn,1,continue,,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1,1966.7,0,0,,Fixation Timing,Fixation,1,object-8,Trial,5.jpg,Absent,whitescreen.jpg,
14,1.70671E+12,31/01/2024 14:47,1.70671E+12,0,31/01/2024 14:47,162688,9,task-b45l,,34643982,BLIND,10244269,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 121.0.0.0,1920x1080,1482x932,,,0,low,no,10,DECFBA,Spreadsheet1,5,Trial,Screen 2,gdvsqo,2,response,Absent,1939.2,1933.4,1939.2,1939.2,1933.4,1939.2,1,1939.2,0,0,,Keyboard Response,Keyboard Response,1,object-11,Trial,5.jpg,Absent,whitescreen.jpg,
